NAME,B08141_001E,B08141_002E,state,county,tract
Census Tract 98.02; Fulton County; Georgia,2106,17,13,121,009802
Census Tract 98.03; Fulton County; Georgia,1759,55,13,121,009803
Census Tract 98.04; Fulton County; Georgia,1169,0,13,121,009804
Census Tract 99; Fulton County; Georgia,2400,0,13,121,009900
Census Tract 100.03; Fulton County; Georgia,3150,90,13,121,010003
Census Tract 100.04; Fulton County; Georgia,1550,0,13,121,010004
Census Tract 100.05; Fulton County; Georgia,1616,0,13,121,010005
Census Tract 100.06; Fulton County; Georgia,2723,142,13,121,010006
Census Tract 100.07; Fulton County; Georgia,846,0,13,121,010007
Census Tract 101.06; Fulton County; Georgia,2015,11,13,121,010106
Census Tract 101.07; Fulton County; Georgia,900,9,13,121,010107
Census Tract 101.08; Fulton County; Georgia,2182,14,13,121,010108
Census Tract 101.15; Fulton County; Georgia,1512,0,13,121,010115
Census Tract 101.17; Fulton County; Georgia,2769,237,13,121,010117
Census Tract 101.20; Fulton County; Georgia,2190,89,13,121,010120
Census Tract 101.21; Fulton County; Georgia,1403,51,13,121,010121
Census Tract 101.24; Fulton County; Georgia,1455,20,13,121,010124
Census Tract 101.25; Fulton County; Georgia,2049,194,13,121,010125
Census Tract 101.26; Fulton County; Georgia,1318,72,13,121,010126
Census Tract 101.27; Fulton County; Georgia,1655,6,13,121,010127
Census Tract 101.28; Fulton County; Georgia,1268,0,13,121,010128
Census Tract 101.29; Fulton County; Georgia,2780,0,13,121,010129
Census Tract 101.30; Fulton County; Georgia,2602,414,13,121,010130
Census Tract 101.31; Fulton County; Georgia,1333,108,13,121,010131
Census Tract 101.32; Fulton County; Georgia,2190,144,13,121,010132
Census Tract 101.33; Fulton County; Georgia,3369,51,13,121,010133
Census Tract 101.34; Fulton County; Georgia,1386,91,13,121,010134
Census Tract 101.35; Fulton County; Georgia,1145,106,13,121,010135
Census Tract 101.36; Fulton County; Georgia,2344,24,13,121,010136
Census Tract 101.37; Fulton County; Georgia,2199,85,13,121,010137
Census Tract 102.04; Fulton County; Georgia,2046,27,13,121,010204
Census Tract 102.11; Fulton County; Georgia,1998,0,13,121,010211
Census Tract 102.12; Fulton County; Georgia,3048,33,13,121,010212
Census Tract 102.13; Fulton County; Georgia,521,9,13,121,010213
Census Tract 102.14; Fulton County; Georgia,1013,198,13,121,010214
Census Tract 102.15; Fulton County; Georgia,1076,46,13,121,010215
Census Tract 102.16; Fulton County; Georgia,1849,70,13,121,010216
Census Tract 102.17; Fulton County; Georgia,1627,75,13,121,010217
Census Tract 102.18; Fulton County; Georgia,1269,0,13,121,010218
Census Tract 102.19; Fulton County; Georgia,1676,13,13,121,010219
Census Tract 102.20; Fulton County; Georgia,2243,180,13,121,010220
Census Tract 102.21; Fulton County; Georgia,1178,52,13,121,010221
Census Tract 102.22; Fulton County; Georgia,1480,16,13,121,010222
Census Tract 102.23; Fulton County; Georgia,1575,0,13,121,010223
Census Tract 103.05; Fulton County; Georgia,1966,54,13,121,010305
Census Tract 103.06; Fulton County; Georgia,2134,0,13,121,010306
Census Tract 103.07; Fulton County; Georgia,2465,0,13,121,010307
Census Tract 103.08; Fulton County; Georgia,2755,0,13,121,010308
Census Tract 103.09; Fulton County; Georgia,2370,9,13,121,010309
Census Tract 103.10; Fulton County; Georgia,2996,42,13,121,010310
Census Tract 103.11; Fulton County; Georgia,2741,0,13,121,010311
Census Tract 103.12; Fulton County; Georgia,1328,0,13,121,010312
Census Tract 103.13; Fulton County; Georgia,1645,0,13,121,010313
Census Tract 103.14; Fulton County; Georgia,1418,7,13,121,010314
Census Tract 103.15; Fulton County; Georgia,2419,127,13,121,010315
Census Tract 104.01; Fulton County; Georgia,2499,76,13,121,010401
Census Tract 104.02; Fulton County; Georgia,1834,0,13,121,010402
Census Tract 105.08; Fulton County; Georgia,1376,20,13,121,010508
Census Tract 105.17; Fulton County; Georgia,2254,107,13,121,010517
Census Tract 105.18; Fulton County; Georgia,1833,7,13,121,010518
Census Tract 105.19; Fulton County; Georgia,2328,128,13,121,010519
Census Tract 105.20; Fulton County; Georgia,3069,0,13,121,010520
Census Tract 105.21; Fulton County; Georgia,870,18,13,121,010521
Census Tract 105.22; Fulton County; Georgia,2497,212,13,121,010522
Census Tract 105.23; Fulton County; Georgia,865,92,13,121,010523
Census Tract 105.24; Fulton County; Georgia,2275,297,13,121,010524
Census Tract 105.25; Fulton County; Georgia,1247,78,13,121,010525
Census Tract 105.26; Fulton County; Georgia,3626,94,13,121,010526
Census Tract 105.27; Fulton County; Georgia,3148,0,13,121,010527
